dataset,parameter_type,parameter_value,train_accuracy,test_accuracy,final_population_size,best_model_fitness,best_model_id,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,lineage_file,generation_stats,parameter_config,training_time,convergence_generation
breast_cancer,hidden_dim,16,0.6285714507102966,0.6315789222717285,7,0.34595704587293835,692509,0.6605739238927012,0.6285714285714286,0.6348159202233186,0.6427827811286458,0.631578947368421,0.6354657423610176,arcnet_breast_cancer_hidden_dim_16_phase_20250722_175128,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.03656112261695722, 'best_fitness': 0.2758413505013385, 'worst_fitness': 0.0005793403906969192, 'fitness_std': 0.08029962604305971, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.08413149088535347, 'best_fitness': 0.2426326920674, 'worst_fitness': 0.015723715017982066, 'fitness_std': 0.09225506106937882, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.13701650103447413, 'best_fitness': 0.26675468806146235, 'worst_fitness': 0.022436520695992265, 'fitness_std': 0.10580246719938348, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 448, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.17838303153679205, 'best_fitness': 0.28384495825636274, 'worst_fitness': 0.045652057876953964, 'fitness_std': 0.07414731755071276, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 658, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.2540145311399101, 'best_fitness': 0.34595704587293835, 'worst_fitness': 0.14414110260569943, 'fitness_std': 0.07660995807821604, 'avg_assembly_index': 19.714285714285715, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,hidden_dim,32,0.7252747416496277,0.7456140518188477,7,0.23513280985598123,710687,0.8088286409454293,0.7252747252747253,0.6692974682143555,0.8193859649122807,0.7456140350877193,0.7024725556581513,arcnet_breast_cancer_hidden_dim_32_phase_20250722_175129,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.031709498159726755, 'best_fitness': 0.09307225167398084, 'worst_fitness': 0.0028825194740281636, 'fitness_std': 0.03096932055901198, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.074620284086012, 'best_fitness': 0.1323286340617485, 'worst_fitness': 0.021901761396424437, 'fitness_std': 0.035570351309526085, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.0956600239185865, 'best_fitness': 0.1819352517074388, 'worst_fitness': 0.023554069169771714, 'fitness_std': 0.04971047571382214, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 464, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.13638977169374764, 'best_fitness': 0.17026568045843207, 'worst_fitness': 0.10710013765225937, 'fitness_std': 0.01801029359892955, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 666, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.1839680769316129, 'best_fitness': 0.25268145840492323, 'worst_fitness': 0.11734222615137561, 'fitness_std': 0.052104243401502624, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 32, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,hidden_dim,64,0.6285714507102966,0.6228070259094238,7,0.06658364369582097,784897,0.39510204081632655,0.6285714285714286,0.4852130325814536,0.38788858110187757,0.6228070175438597,0.4780464675201518,arcnet_breast_cancer_hidden_dim_64_phase_20250722_175130,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.01024290495793991, 'best_fitness': 0.019572876680662793, 'worst_fitness': 0.0007499805455485927, 'fitness_std': 0.006772871247879494, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.022835879961298215, 'best_fitness': 0.029171185531205925, 'worst_fitness': 0.013178771271018647, 'fitness_std': 0.005128991421576099, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.024511465507039032, 'best_fitness': 0.02975657508794935, 'worst_fitness': 0.015803419886492497, 'fitness_std': 0.004828170922202379, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 466, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.03384244327551624, 'best_fitness': 0.04395515582807314, 'worst_fitness': 0.022292149752250866, 'fitness_std': 0.006292016550368104, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.03598328559261201, 'best_fitness': 0.06658364369582097, 'worst_fitness': 0.021854135086239315, 'fitness_std': 0.015166428204082474, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 64, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,hidden_dim,128,0.37142857909202576,0.37719297409057617,7,0.018897012062790697,945816,0.13795918367346938,0.37142857142857144,0.20119047619047617,0.1422745460141582,0.37719298245614036,0.20661526427533802,arcnet_breast_cancer_hidden_dim_128_phase_20250722_175132,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.011071673680293428, 'best_fitness': 0.02545298663141455, 'worst_fitness': 0.0031007426244519785, 'fitness_std': 0.0074240399470439965, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.015879654048717363, 'best_fitness': 0.02176256305185943, 'worst_fitness': 0.011286102685865463, 'fitness_std': 0.0037840870883013387, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.01531753779431308, 'best_fitness': 0.023463547740976552, 'worst_fitness': 0.009669082240534208, 'fitness_std': 0.003936096450869898, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 466, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.016712357882707033, 'best_fitness': 0.02787325740306312, 'worst_fitness': 0.010163610935434955, 'fitness_std': 0.005643335884010522, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.01801711406832993, 'best_fitness': 0.023440515078994063, 'worst_fitness': 0.013771087608290558, 'fitness_std': 0.0027144171132081675, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 128, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,hidden_dim,256,0.37142857909202576,0.37719297409057617,7,0.007937094745495766,228486,0.13795918367346938,0.37142857142857144,0.20119047619047617,0.1422745460141582,0.37719298245614036,0.20661526427533802,arcnet_breast_cancer_hidden_dim_256_phase_20250722_175136,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.0057277266455432576, 'best_fitness': 0.01356743170480402, 'worst_fitness': 0.0019062766695773531, 'fitness_std': 0.0034629169309413027, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.006311521622273457, 'best_fitness': 0.007650605834450817, 'worst_fitness': 0.005335479595999595, 'fitness_std': 0.0007666402268483723, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.005983490161060508, 'best_fitness': 0.008156920145300119, 'worst_fitness': 0.004088161206396809, 'fitness_std': 0.001375052929078868, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 466, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.006120189506565184, 'best_fitness': 0.007944005043551054, 'worst_fitness': 0.0026715810887801747, 'fitness_std': 0.0016023008518688566, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.00521545589112976, 'best_fitness': 0.007937094745495766, 'worst_fitness': 0.0025469227455715273, 'fitness_std': 0.0019085331898040308, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 256, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,hidden_dim,512,0.6285714507102966,0.6228070259094238,7,0.0010762357760373319,977343,0.39510204081632655,0.6285714285714286,0.4852130325814536,0.38788858110187757,0.6228070175438597,0.4780464675201518,arcnet_breast_cancer_hidden_dim_512_phase_20250722_175143,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.001119462323775928, 'best_fitness': 0.0030657710239168127, 'worst_fitness': 0.0006131105059838148, 'fitness_std': 0.0007209116491394356, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.0009238656478823568, 'best_fitness': 0.0010736438136845288, 'worst_fitness': 0.0007537672721464223, 'fitness_std': 9.575850819852142e-05, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.0008079810379922519, 'best_fitness': 0.0013035589769735344, 'worst_fitness': 0.0003908398438320015, 'fitness_std': 0.00029652537971215366, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 466, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.0009882009988043236, 'best_fitness': 0.001269077997484152, 'worst_fitness': 0.0006484659766319523, 'fitness_std': 0.00018257216078144877, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.0009551409865330183, 'best_fitness': 0.0010762357760373319, 'worst_fitness': 0.0007964279738714848, 'fitness_std': 0.00010896544069077879, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 512, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,hidden_dim,16,0.5166666507720947,0.4000000059604645,7,0.48881357670460507,416184,0.7998316498316498,0.5166666666666667,0.43859126984126984,0.8,0.4,0.3222222222222222,arcnet_iris_hidden_dim_16_phase_20250722_175420,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.45852936852060805, 'best_fitness': 0.48024450619895875, 'worst_fitness': 0.4174432241479274, 'fitness_std': 0.024810385613116912, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.4809394240286632, 'best_fitness': 0.48391812823327823, 'worst_fitness': 0.477436173720899, 'fitness_std': 0.002188255489151912, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 5, 'avg_fitness': 0.48122800350609135, 'best_fitness': 0.4859145955199002, 'worst_fitness': 0.4768972046628161, 'fitness_std': 0.0031106791423224913, 'avg_assembly_index': 19.4, 'total_q_experiences': 338, 'lineage_size': 14}, {'generation': 3, 'population_size': 5, 'avg_fitness': 0.4828890900531345, 'best_fitness': 0.48700318810702264, 'worst_fitness': 0.4794469727387166, 'fitness_std': 0.002882524969656132, 'avg_assembly_index': 19.4, 'total_q_experiences': 410, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.48505734584013843, 'best_fitness': 0.48881357670460507, 'worst_fitness': 0.4788429053017505, 'fitness_std': 0.0037253632732652275, 'avg_assembly_index': 19.4, 'total_q_experiences': 481, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,hidden_dim,32,0.32499998807907104,0.36666667461395264,5,0.48993959076188554,775890,0.10562500000000001,0.325,0.15943396226415094,0.13444444444444445,0.36666666666666664,0.1967479674796748,arcnet_iris_hidden_dim_32_phase_20250722_175421,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.467752083191583, 'best_fitness': 0.4923440416074513, 'worst_fitness': 0.433264111478606, 'fitness_std': 0.014503180213420272, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 6, 'avg_fitness': 0.48449447251890465, 'best_fitness': 0.5001704230441649, 'worst_fitness': 0.4752679165510877, 'fitness_std': 0.00963586054455279, 'avg_assembly_index': 19.0, 'total_q_experiences': 111, 'lineage_size': 12}, {'generation': 2, 'population_size': 5, 'avg_fitness': 0.4897050804002577, 'best_fitness': 0.5046014172328985, 'worst_fitness': 0.4802197355548088, 'fitness_std': 0.010461629811808182, 'avg_assembly_index': 19.4, 'total_q_experiences': 297, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.4917379742406555, 'best_fitness': 0.5035868809757399, 'worst_fitness': 0.48198986481187184, 'fitness_std': 0.00932363505180462, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 620, 'lineage_size': 16}, {'generation': 4, 'population_size': 6, 'avg_fitness': 0.4921113394649356, 'best_fitness': 0.5068257159157146, 'worst_fitness': 0.48371958706673246, 'fitness_std': 0.009232367936073968, 'avg_assembly_index': 19.833333333333332, 'total_q_experiences': 600, 'lineage_size': 18}]","{'hidden_dim': 32, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,hidden_dim,64,0.675000011920929,0.699999988079071,5,0.5133011733601069,57422,0.8375,0.675,0.6021937321937323,0.535,0.7,0.5935483870967742,arcnet_iris_hidden_dim_64_phase_20250722_175422,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.47660150904299936, 'best_fitness': 0.49729778437526306, 'worst_fitness': 0.442646407299316, 'fitness_std': 0.01529077334336962, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.4973098975235037, 'best_fitness': 0.5064874969207213, 'worst_fitness': 0.4903857913006675, 'fitness_std': 0.004652519405919328, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 5, 'avg_fitness': 0.5014823437923774, 'best_fitness': 0.512414507182064, 'worst_fitness': 0.4945367611734481, 'fitness_std': 0.006248711414304981, 'avg_assembly_index': 19.4, 'total_q_experiences': 338, 'lineage_size': 14}, {'generation': 3, 'population_size': 5, 'avg_fitness': 0.5093441979939368, 'best_fitness': 0.5220666878162618, 'worst_fitness': 0.4988524489751014, 'fitness_std': 0.007798550583077817, 'avg_assembly_index': 19.4, 'total_q_experiences': 410, 'lineage_size': 16}, {'generation': 4, 'population_size': 6, 'avg_fitness': 0.5162048965884986, 'best_fitness': 0.5299413480584187, 'worst_fitness': 0.5062094416485494, 'fitness_std': 0.008367225066216333, 'avg_assembly_index': 19.5, 'total_q_experiences': 600, 'lineage_size': 18}]","{'hidden_dim': 64, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,hidden_dim,128,0.6916666626930237,0.7333333492279053,6,0.5786443892307239,465473,0.8417763157894738,0.6916666666666667,0.6145088566827698,0.8456140350877193,0.7333333333333333,0.6622222222222223,arcnet_iris_hidden_dim_128_phase_20250722_175423,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.4914062499508062, 'best_fitness': 0.49903053627795535, 'worst_fitness': 0.4745938154973182, 'fitness_std': 0.007419234876926935, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 5, 'avg_fitness': 0.5143410943480367, 'best_fitness': 0.5212765527748352, 'worst_fitness': 0.5068584218576943, 'fitness_std': 0.004767628136402191, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 12}, {'generation': 2, 'population_size': 6, 'avg_fitness': 0.5315247590496218, 'best_fitness': 0.5366797509661438, 'worst_fitness': 0.5234654721602762, 'fitness_std': 0.004869193360383176, 'avg_assembly_index': 19.0, 'total_q_experiences': 111, 'lineage_size': 14}, {'generation': 3, 'population_size': 5, 'avg_fitness': 0.5478057682416073, 'best_fitness': 0.5591078756713657, 'worst_fitness': 0.5378665072077736, 'fitness_std': 0.007038687515240859, 'avg_assembly_index': 19.4, 'total_q_experiences': 305, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.5682814869286148, 'best_fitness': 0.5786443892307239, 'worst_fitness': 0.5591107264596736, 'fitness_std': 0.008340067315412526, 'avg_assembly_index': 19.4, 'total_q_experiences': 383, 'lineage_size': 18}]","{'hidden_dim': 128, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
