dataset,parameter_type,parameter_value,train_accuracy,test_accuracy,final_population_size,best_model_fitness,best_model_id,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,lineage_file,generation_stats,parameter_config,training_time,convergence_generation
breast_cancer,lineage_kept,250,0.6747252941131592,0.6666666865348816,7,0.11939310795878715,236479,0.6924506387921022,0.6747252747252748,0.6094624249957797,0.7026455026455026,0.6666666666666666,0.5898892773892774,arcnet_breast_cancer_lineage_kept_250_phase_20250722_175339,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.014930564410342665, 'best_fitness': 0.057616851803823484, 'worst_fitness': 0.0007502346085825851, 'fitness_std': 0.01970224767572193, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.037715613340362546, 'best_fitness': 0.07144627717947136, 'worst_fitness': 0.0056218671554232325, 'fitness_std': 0.024111195012375488, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.04773865583280319, 'best_fitness': 0.09989850818560589, 'worst_fitness': 0.0075640452545415035, 'fitness_std': 0.03177979709039516, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 465, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.08127454341750398, 'best_fitness': 0.1402482970630176, 'worst_fitness': 0.01099808142752197, 'fitness_std': 0.03874729367481969, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.08354136632412835, 'best_fitness': 0.11939310795878715, 'worst_fitness': 0.01718750286847401, 'fitness_std': 0.03377647843934457, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 250, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_kept,500,0.3560439646244049,0.3333333432674408,7,0.21874039592479777,42812,0.35525966484154636,0.35604395604395606,0.35565044791511774,0.3268738166833723,0.3333333333333333,0.33002645502645506,arcnet_breast_cancer_lineage_kept_500_phase_20250722_175340,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.016299951235311173, 'best_fitness': 0.06750017927932672, 'worst_fitness': 0.000488202274979693, 'fitness_std': 0.021563427280005733, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.06126172369309652, 'best_fitness': 0.11673466325130734, 'worst_fitness': 0.011933225938669963, 'fitness_std': 0.03669814410028897, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.09806229030533084, 'best_fitness': 0.16157053980526037, 'worst_fitness': 0.015676910584605765, 'fitness_std': 0.04645131886797719, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 460, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.12150898200240358, 'best_fitness': 0.15561579057072278, 'worst_fitness': 0.07490054878086673, 'fitness_std': 0.028322867903172434, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 666, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.1627545132992691, 'best_fitness': 0.21874039592479777, 'worst_fitness': 0.0899985898238842, 'fitness_std': 0.043737211309209725, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_kept,750,0.6285714507102966,0.6228070259094238,7,0.3605671618131173,640773,0.39510204081632655,0.6285714285714286,0.4852130325814536,0.38788858110187757,0.6228070175438597,0.4780464675201518,arcnet_breast_cancer_lineage_kept_750_phase_20250722_175341,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.017902664611214515, 'best_fitness': 0.05346805865609859, 'worst_fitness': 0.0005506272223457862, 'fitness_std': 0.016769954265421418, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.05533484994461305, 'best_fitness': 0.10127536867936833, 'worst_fitness': 0.019198972554984362, 'fitness_std': 0.02589787603503989, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.10724683704645153, 'best_fitness': 0.22094548330928956, 'worst_fitness': 0.017481544927798534, 'fitness_std': 0.0739235967612814, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 464, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.1812759175326875, 'best_fitness': 0.2806817864709808, 'worst_fitness': 0.09809298971749396, 'fitness_std': 0.07181444018971982, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.2666413687032244, 'best_fitness': 0.3605671618131173, 'worst_fitness': 0.11878100217166003, 'fitness_std': 0.07518071585344906, 'avg_assembly_index': 19.714285714285715, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 750, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_kept,1000,0.7098901271820068,0.7456140518188477,7,0.13193307772339646,838703,0.8015037593984963,0.7098901098901099,0.6441400832177531,0.8193859649122807,0.7456140350877193,0.7024725556581513,arcnet_breast_cancer_lineage_kept_1000_phase_20250722_175343,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.020589308802207894, 'best_fitness': 0.07795015105324692, 'worst_fitness': 0.0010674801337868473, 'fitness_std': 0.021915057008919703, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.04412143476924831, 'best_fitness': 0.07553838177464799, 'worst_fitness': 0.025594608635661414, 'fitness_std': 0.019306157681742157, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.052881577002050054, 'best_fitness': 0.07892443538683568, 'worst_fitness': 0.024217394871097506, 'fitness_std': 0.017464834434418295, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 464, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.06731624474401499, 'best_fitness': 0.11435811169125788, 'worst_fitness': 0.030661081617655572, 'fitness_std': 0.029572169323715498, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.08354846807431068, 'best_fitness': 0.13193307772339646, 'worst_fitness': 0.03616903543742872, 'fitness_std': 0.03650523454505055, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 1000, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_kept,1500,0.69010990858078,0.6842105388641357,7,0.26724636787281575,997909,0.6998288012570208,0.6901098901098901,0.6427557714744754,0.6842105263157895,0.6842105263157895,0.645918137746231,arcnet_breast_cancer_lineage_kept_1500_phase_20250722_175344,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.019838358097786443, 'best_fitness': 0.09160436317916523, 'worst_fitness': 0.0016246546096748459, 'fitness_std': 0.026345612337715738, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.05755183826767914, 'best_fitness': 0.15081366958868248, 'worst_fitness': 0.012770633777971689, 'fitness_std': 0.050449620497599684, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.09761267928940552, 'best_fitness': 0.19914297809320128, 'worst_fitness': 0.01658551084700786, 'fitness_std': 0.07200133744961836, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 461, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.1527763262960151, 'best_fitness': 0.24468443508506485, 'worst_fitness': 0.03880705722821115, 'fitness_std': 0.07214549335570379, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 666, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.20618753065928616, 'best_fitness': 0.26724636787281575, 'worst_fitness': 0.05456918345334561, 'fitness_std': 0.06783540798454087, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 1500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_kept,2000,0.6593406796455383,0.6578947305679321,7,0.40356467841117694,628996,0.779073534175575,0.6593406593406593,0.5513874884971014,0.7791866028708134,0.6578947368421053,0.5528140911818751,arcnet_breast_cancer_lineage_kept_2000_phase_20250722_175345,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.03531609279626039, 'best_fitness': 0.1025101583772249, 'worst_fitness': 0.0013607398158998097, 'fitness_std': 0.0363414567423705, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.09727492233077495, 'best_fitness': 0.17616985272696542, 'worst_fitness': 0.018207864741258687, 'fitness_std': 0.048742432086863026, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.1583018744606152, 'best_fitness': 0.24099806187018755, 'worst_fitness': 0.08126777531077149, 'fitness_std': 0.04565446638054488, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 454, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.197044421640391, 'best_fitness': 0.3583922717291503, 'worst_fitness': 0.07837694567783782, 'fitness_std': 0.08750340106455533, 'avg_assembly_index': 19.428571428571427, 'total_q_experiences': 662, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.26714823664247983, 'best_fitness': 0.40356467841117694, 'worst_fitness': 0.15622988369427618, 'fitness_std': 0.08073046066134357, 'avg_assembly_index': 19.428571428571427, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 2000, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_kept,250,0.32499998807907104,0.36666667461395264,7,0.4896686412907729,914456,0.10562500000000001,0.325,0.15943396226415094,0.13444444444444445,0.36666666666666664,0.1967479674796748,arcnet_iris_lineage_kept_250_phase_20250722_175609,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.4640569376461806, 'best_fitness': 0.48230051480180974, 'worst_fitness': 0.4200803272783487, 'fitness_std': 0.017244391182981645, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 5, 'avg_fitness': 0.4756104157866098, 'best_fitness': 0.4804042708669787, 'worst_fitness': 0.46908420631118575, 'fitness_std': 0.003947161881055156, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 12}, {'generation': 2, 'population_size': 6, 'avg_fitness': 0.4777374172801901, 'best_fitness': 0.4817804506193026, 'worst_fitness': 0.46911203885317243, 'fitness_std': 0.004171674216549962, 'avg_assembly_index': 19.0, 'total_q_experiences': 133, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.4803601240893549, 'best_fitness': 0.4869342397346923, 'worst_fitness': 0.4711849814101003, 'fitness_std': 0.004974309964813271, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 459, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.48319300431369056, 'best_fitness': 0.4896686412907729, 'worst_fitness': 0.47406670643309023, 'fitness_std': 0.005155140278732389, 'avg_assembly_index': 19.6, 'total_q_experiences': 460, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 250, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_kept,500,0.34166666865348816,0.30000001192092896,6,0.5024598713375477,66285,0.11673611111111111,0.3416666666666667,0.17401656314699793,0.09,0.3,0.13846153846153847,arcnet_iris_lineage_kept_500_phase_20250722_175610,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.4678101228880438, 'best_fitness': 0.49173536472301854, 'worst_fitness': 0.42573081156691944, 'fitness_std': 0.01906717972150669, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 6, 'avg_fitness': 0.48709551833720455, 'best_fitness': 0.4978441078681383, 'worst_fitness': 0.4681339567449458, 'fitness_std': 0.009948414890716599, 'avg_assembly_index': 19.0, 'total_q_experiences': 133, 'lineage_size': 12}, {'generation': 2, 'population_size': 6, 'avg_fitness': 0.4882909132350262, 'best_fitness': 0.4989980015947981, 'worst_fitness': 0.4725016161504533, 'fitness_std': 0.009225879301736444, 'avg_assembly_index': 19.333333333333332, 'total_q_experiences': 405, 'lineage_size': 14}, {'generation': 3, 'population_size': 6, 'avg_fitness': 0.49305735995445565, 'best_fitness': 0.5039138497122799, 'worst_fitness': 0.4718005433974421, 'fitness_std': 0.010292880518789242, 'avg_assembly_index': 19.5, 'total_q_experiences': 554, 'lineage_size': 16}, {'generation': 4, 'population_size': 6, 'avg_fitness': 0.49997809245266617, 'best_fitness': 0.5024598713375477, 'worst_fitness': 0.49801225111581565, 'fitness_std': 0.001690176589151697, 'avg_assembly_index': 19.666666666666668, 'total_q_experiences': 600, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_kept,750,0.875,0.8999999761581421,6,0.5090768165391124,138027,0.8750522138680032,0.875,0.8749413237365045,0.9013888888888889,0.9,0.8992327365728899,arcnet_iris_lineage_kept_750_phase_20250722_175612,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.46676462921357087, 'best_fitness': 0.49608943912898024, 'worst_fitness': 0.39969021964882984, 'fitness_std': 0.02776845080938172, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 5, 'avg_fitness': 0.48934612405003053, 'best_fitness': 0.5041277273801774, 'worst_fitness': 0.47698915877902354, 'fitness_std': 0.010104606606313564, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 12}, {'generation': 2, 'population_size': 5, 'avg_fitness': 0.49016571391638364, 'best_fitness': 0.5044427644935677, 'worst_fitness': 0.4808084057192336, 'fitness_std': 0.008578394340628398, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 14}, {'generation': 3, 'population_size': 6, 'avg_fitness': 0.4935415257364227, 'best_fitness': 0.5087756683602893, 'worst_fitness': 0.47819414871421384, 'fitness_std': 0.010627231754447054, 'avg_assembly_index': 19.0, 'total_q_experiences': 111, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.49510784867626584, 'best_fitness': 0.5090768165391124, 'worst_fitness': 0.4841004048882056, 'fitness_std': 0.008707100513810169, 'avg_assembly_index': 19.4, 'total_q_experiences': 305, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 750, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_kept,1000,0.34166666865348816,0.30000001192092896,7,0.48501219727672784,435169,0.11673611111111111,0.3416666666666667,0.17401656314699793,0.09,0.3,0.13846153846153847,arcnet_iris_lineage_kept_1000_phase_20250722_175613,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.46613867504686457, 'best_fitness': 0.4738452483200133, 'worst_fitness': 0.44859573987931894, 'fitness_std': 0.008931043844850458, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.47459278185741033, 'best_fitness': 0.4767283845375706, 'worst_fitness': 0.47306334134234457, 'fitness_std': 0.001359995891394209, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.4767941185339573, 'best_fitness': 0.48335421205346635, 'worst_fitness': 0.4736748103504109, 'fitness_std': 0.0032969849130733446, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 504, 'lineage_size': 14}, {'generation': 3, 'population_size': 5, 'avg_fitness': 0.4772364421929057, 'best_fitness': 0.4827980828987334, 'worst_fitness': 0.47433216632404285, 'fitness_std': 0.0030372572213000553, 'avg_assembly_index': 19.6, 'total_q_experiences': 474, 'lineage_size': 16}, {'generation': 4, 'population_size': 6, 'avg_fitness': 0.47774146538832046, 'best_fitness': 0.48501219727672784, 'worst_fitness': 0.4752301679716043, 'fitness_std': 0.003354356358615724, 'avg_assembly_index': 19.666666666666668, 'total_q_experiences': 600, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 800, 'lineage_kept': 1000, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
