dataset,parameter_type,parameter_value,train_accuracy,test_accuracy,final_population_size,best_model_fitness,best_model_id,train_precision,train_recall,train_f1,test_precision,test_recall,test_f1,lineage_file,generation_stats,parameter_config,training_time,convergence_generation
breast_cancer,lineage_prune_rate,500,0.20879121124744415,0.2368421107530594,7,0.07945477892107246,909165,0.22992506017519046,0.2087912087912088,0.20007297091114132,0.2704678362573099,0.23684210526315788,0.24360821102946248,arcnet_breast_cancer_lineage_prune_rate_500_phase_20250722_175332,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.004843799540432252, 'best_fitness': 0.016592256672610224, 'worst_fitness': 0.0003743026944585199, 'fitness_std': 0.004898582773188241, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.015765255027239442, 'best_fitness': 0.04046767282168098, 'worst_fitness': 0.005927260459937902, 'fitness_std': 0.011806557727896693, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.023263636489572474, 'best_fitness': 0.0615951825661084, 'worst_fitness': 0.009388692753897874, 'fitness_std': 0.01972582055093515, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 466, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.043362548347605834, 'best_fitness': 0.07734629598211981, 'worst_fitness': 0.011332321593012888, 'fitness_std': 0.02705129845650047, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.044421814700638586, 'best_fitness': 0.07945477892107246, 'worst_fitness': 0.015364184939905701, 'fitness_std': 0.02357487097376569, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 500, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_prune_rate,1000,0.6483516693115234,0.6315789222717285,7,0.32619801615364197,310222,0.7745035233824471,0.6483516483516484,0.528738959204975,0.7685142058686539,0.631578947368421,0.4977896817141668,arcnet_breast_cancer_lineage_prune_rate_1000_phase_20250722_175334,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.02426595843320444, 'best_fitness': 0.18752293010301033, 'worst_fitness': 0.0004536211671863117, 'fitness_std': 0.05501706912690109, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.07681740340635539, 'best_fitness': 0.24610977871616874, 'worst_fitness': 0.004405373404736019, 'fitness_std': 0.08708363584564587, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.13645266111175797, 'best_fitness': 0.3400387895010053, 'worst_fitness': 0.006450724490891708, 'fitness_std': 0.1376864083698236, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 464, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.23876856858785636, 'best_fitness': 0.3932327062457544, 'worst_fitness': 0.05198036023422333, 'fitness_std': 0.12321252149811357, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 666, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.28844831685855227, 'best_fitness': 0.32619801615364197, 'worst_fitness': 0.23354425777230073, 'fitness_std': 0.03618065577194494, 'avg_assembly_index': 19.714285714285715, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 1000, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_prune_rate,1500,0.6549450755119324,0.6491228342056274,7,0.14069320832470417,950936,0.7772331505965817,0.654945054945055,0.5424502757017592,0.7755650387229334,0.6491228070175439,0.5351254390155992,arcnet_breast_cancer_lineage_prune_rate_1500_phase_20250722_175335,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.008003087476851866, 'best_fitness': 0.019571581965033297, 'worst_fitness': 0.0012249698561266026, 'fitness_std': 0.0063224562131710405, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.024417183119714355, 'best_fitness': 0.04239843309013452, 'worst_fitness': 0.012206469935682095, 'fitness_std': 0.011688894639311453, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.03541694681499581, 'best_fitness': 0.06491986182141837, 'worst_fitness': 0.015202526176606189, 'fitness_std': 0.015812207838358527, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 465, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.06631283025330184, 'best_fitness': 0.119149025139588, 'worst_fitness': 0.03572747659159568, 'fitness_std': 0.030804318481581158, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.07937157520935559, 'best_fitness': 0.14069320832470417, 'worst_fitness': 0.04420966976905969, 'fitness_std': 0.03377936278982971, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 1500, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_prune_rate,2000,0.47472527623176575,0.4736842215061188,7,0.16939806977741478,107964,0.39602522287453795,0.4747252747252747,0.42648731680989743,0.3673130193905817,0.47368421052631576,0.40986356291038517,arcnet_breast_cancer_lineage_prune_rate_2000_phase_20250722_175336,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.023663409371564036, 'best_fitness': 0.08268722765365166, 'worst_fitness': 0.0019582492744712734, 'fitness_std': 0.025422013009736562, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.05294716964521059, 'best_fitness': 0.07463367203010299, 'worst_fitness': 0.025961583503682786, 'fitness_std': 0.016702662896281074, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.06059629212897849, 'best_fitness': 0.10404010487593732, 'worst_fitness': 0.035165245559372275, 'fitness_std': 0.0194620406007857, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 465, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.07095497507905783, 'best_fitness': 0.12237762074533715, 'worst_fitness': 0.03761112052068239, 'fitness_std': 0.02852969089790497, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.10686430385655013, 'best_fitness': 0.16939806977741478, 'worst_fitness': 0.06521768470925003, 'fitness_std': 0.03629477993318581, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 2000, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_prune_rate,2500,0.7780219912528992,0.7631579041481018,7,0.19576019928194724,234277,0.8314285714285714,0.778021978021978,0.74842287830833,0.8284103114930182,0.7631578947368421,0.7278845494037973,arcnet_breast_cancer_lineage_prune_rate_2500_phase_20250722_175337,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.015931380654616252, 'best_fitness': 0.07585034845229485, 'worst_fitness': 0.0004090964431880798, 'fitness_std': 0.02276362851879122, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.04263169803221735, 'best_fitness': 0.08815000875551549, 'worst_fitness': 0.014956895312231124, 'fitness_std': 0.028277649604493055, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.06577359864408913, 'best_fitness': 0.11772855704778613, 'worst_fitness': 0.016298292373623482, 'fitness_std': 0.03210911622653695, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 464, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.07960135446035392, 'best_fitness': 0.12670357740985183, 'worst_fitness': 0.03674482848329744, 'fitness_std': 0.03967800576885114, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.12048367565483627, 'best_fitness': 0.19576019928194724, 'worst_fitness': 0.04642624000657403, 'fitness_std': 0.05738545385733225, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 2500, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
breast_cancer,lineage_prune_rate,3000,0.7582417726516724,0.7543859481811523,7,0.12327905333251976,301627,0.8253968253968254,0.7582417582417582,0.7194195165332686,0.823852560694666,0.7543859649122807,0.7153268566954913,arcnet_breast_cancer_lineage_prune_rate_3000_phase_20250722_175338,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.007382389723251835, 'best_fitness': 0.034313568928460166, 'worst_fitness': 0.0002020702332194386, 'fitness_std': 0.011435242499457085, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 7, 'avg_fitness': 0.023972519899168012, 'best_fitness': 0.05102818352151968, 'worst_fitness': 0.0027500683992231862, 'fitness_std': 0.018773648369614017, 'avg_assembly_index': 19.0, 'total_q_experiences': 186, 'lineage_size': 12}, {'generation': 2, 'population_size': 7, 'avg_fitness': 0.04133068676107158, 'best_fitness': 0.0910063198158169, 'worst_fitness': 0.003372953111649092, 'fitness_std': 0.03094675804766732, 'avg_assembly_index': 19.285714285714285, 'total_q_experiences': 464, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.051354826246755685, 'best_fitness': 0.08042651110537902, 'worst_fitness': 0.026401882407161494, 'fitness_std': 0.020174187489708634, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 666, 'lineage_size': 16}, {'generation': 4, 'population_size': 7, 'avg_fitness': 0.08499396691909414, 'best_fitness': 0.12408764177257679, 'worst_fitness': 0.03896005555446154, 'fitness_std': 0.0338163927503288, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 672, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 3000, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_prune_rate,500,0.5916666388511658,0.5666666626930237,5,0.48756001281699346,888278,0.48898148148148146,0.5916666666666667,0.4995819701926572,0.45606060606060606,0.5666666666666667,0.4704898446833931,arcnet_iris_lineage_prune_rate_500_phase_20250722_175601,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.4623898955755982, 'best_fitness': 0.4814126934872763, 'worst_fitness': 0.42721772468556857, 'fitness_std': 0.015730125114781352, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 5, 'avg_fitness': 0.4753808752130365, 'best_fitness': 0.4787752369688601, 'worst_fitness': 0.47102533795639906, 'fitness_std': 0.0035024856550982327, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 12}, {'generation': 2, 'population_size': 6, 'avg_fitness': 0.4776006261344515, 'best_fitness': 0.4819968714993406, 'worst_fitness': 0.4718553455316462, 'fitness_std': 0.00393385953585366, 'avg_assembly_index': 19.0, 'total_q_experiences': 111, 'lineage_size': 14}, {'generation': 3, 'population_size': 5, 'avg_fitness': 0.4793901196160915, 'best_fitness': 0.48352282522867823, 'worst_fitness': 0.4753543138960679, 'fitness_std': 0.002671880853275792, 'avg_assembly_index': 19.4, 'total_q_experiences': 306, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.48384208238466053, 'best_fitness': 0.4888216946979685, 'worst_fitness': 0.47510969265666636, 'fitness_std': 0.004976932911114927, 'avg_assembly_index': 19.6, 'total_q_experiences': 425, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 500, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_prune_rate,1000,0.32499998807907104,0.36666667461395264,7,0.48468838350054966,294335,0.10562500000000001,0.325,0.15943396226415094,0.13444444444444445,0.36666666666666664,0.1967479674796748,arcnet_iris_lineage_prune_rate_1000_phase_20250722_175603,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.462406599477237, 'best_fitness': 0.4780632024641836, 'worst_fitness': 0.41666317320149954, 'fitness_std': 0.017293562875339584, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 5, 'avg_fitness': 0.47705241012433, 'best_fitness': 0.4802337563602889, 'worst_fitness': 0.4723059748850302, 'fitness_std': 0.003100186561847633, 'avg_assembly_index': 19.0, 'total_q_experiences': 71, 'lineage_size': 12}, {'generation': 2, 'population_size': 5, 'avg_fitness': 0.47805270861707516, 'best_fitness': 0.48139247083979053, 'worst_fitness': 0.4710764946272644, 'fitness_std': 0.003588822651544591, 'avg_assembly_index': 19.4, 'total_q_experiences': 258, 'lineage_size': 14}, {'generation': 3, 'population_size': 7, 'avg_fitness': 0.4802666247072494, 'best_fitness': 0.4818287672051178, 'worst_fitness': 0.47499732026479463, 'fitness_std': 0.002210974885672799, 'avg_assembly_index': 19.571428571428573, 'total_q_experiences': 596, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.48303546623612786, 'best_fitness': 0.48468838350054966, 'worst_fitness': 0.4816615268470952, 'fitness_std': 0.0012267727825624594, 'avg_assembly_index': 19.8, 'total_q_experiences': 488, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 1000, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_prune_rate,1500,0.675000011920929,0.6333333253860474,5,0.49080681551834116,851826,0.5084375,0.675,0.5648760330578513,0.4683333333333334,0.6333333333333333,0.5195402298850574,arcnet_iris_lineage_prune_rate_1500_phase_20250722_175604,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.46818613393550723, 'best_fitness': 0.4865532417015276, 'worst_fitness': 0.44622182617674766, 'fitness_std': 0.010440881508389618, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 6, 'avg_fitness': 0.4798189342953803, 'best_fitness': 0.49011406186534595, 'worst_fitness': 0.4717637680867631, 'fitness_std': 0.0065502856782477786, 'avg_assembly_index': 19.0, 'total_q_experiences': 133, 'lineage_size': 12}, {'generation': 2, 'population_size': 5, 'avg_fitness': 0.4808923091832593, 'best_fitness': 0.49597144054834336, 'worst_fitness': 0.4719742024140957, 'fitness_std': 0.008337326484313368, 'avg_assembly_index': 19.4, 'total_q_experiences': 326, 'lineage_size': 14}, {'generation': 3, 'population_size': 6, 'avg_fitness': 0.48368231889229696, 'best_fitness': 0.4967412747039517, 'worst_fitness': 0.47355362518598815, 'fitness_std': 0.008774147700956013, 'avg_assembly_index': 19.5, 'total_q_experiences': 536, 'lineage_size': 16}, {'generation': 4, 'population_size': 6, 'avg_fitness': 0.485577987858008, 'best_fitness': 0.4925658944097001, 'worst_fitness': 0.4741214467772252, 'fitness_std': 0.006799784084997373, 'avg_assembly_index': 19.666666666666668, 'total_q_experiences': 600, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 1500, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
iris,lineage_prune_rate,2000,0.32499998807907104,0.36666667461395264,5,0.4859651525442267,324700,0.10562500000000001,0.325,0.15943396226415094,0.13444444444444445,0.36666666666666664,0.1967479674796748,arcnet_iris_lineage_prune_rate_2000_phase_20250722_175605,"[{'generation': 0, 'population_size': 10, 'avg_fitness': 0.4623780125969293, 'best_fitness': 0.48128077961376287, 'worst_fitness': 0.4090230338659495, 'fitness_std': 0.022410845529238322, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 10}, {'generation': 1, 'population_size': 5, 'avg_fitness': 0.4810246112912102, 'best_fitness': 0.4857926657689304, 'worst_fitness': 0.4759376705277158, 'fitness_std': 0.0038515219512010894, 'avg_assembly_index': 19.0, 'total_q_experiences': 0, 'lineage_size': 12}, {'generation': 2, 'population_size': 6, 'avg_fitness': 0.4831790016609203, 'best_fitness': 0.49184111845522893, 'worst_fitness': 0.4760975813521304, 'fitness_std': 0.005474951434519719, 'avg_assembly_index': 19.0, 'total_q_experiences': 111, 'lineage_size': 14}, {'generation': 3, 'population_size': 5, 'avg_fitness': 0.4855637265620277, 'best_fitness': 0.4929214662257803, 'worst_fitness': 0.4789173735010153, 'fitness_std': 0.005522109794995681, 'avg_assembly_index': 19.4, 'total_q_experiences': 305, 'lineage_size': 16}, {'generation': 4, 'population_size': 5, 'avg_fitness': 0.4859267596306333, 'best_fitness': 0.4936665721737592, 'worst_fitness': 0.47831466627254754, 'fitness_std': 0.005382606434628694, 'avg_assembly_index': 19.4, 'total_q_experiences': 383, 'lineage_size': 18}]","{'hidden_dim': 16, 'initial_population': 10, 'steps': 5, 'epochs': 2, 'lineage_prune_rate': 2000, 'lineage_kept': 500, 'num_survivors': 5, 'q_learning_method': 'neural', 'training_method': 'loss', 'enable_irxn': True}",0,0
